index,common,construction,all,,,
801,14,0,14,,,
802,1,0,1,,,
803,2,0,2,,,
804,6,0,6,,,
805,2,0,2,,,
806,7,0,7,,,
807,6,1,7,,,
808,11,0,11,,,
809,2,0,2,,,
810,7,0,7,,,
811,1,0,1,,,
812,13,0,13,,,
813,3,0,3,,,
814,9,0,9,,,
815,10,0,10,,,
816,3,0,3,,,
817,4,0,4,,,
818,8,0,8,,,
819,3,0,3,,,
820,6,0,6,,,
821,4,0,4,,,
822,3,0,3,,,
823,5,0,5,,,
824,3,0,3,,,
825,11,0,11,,,
826,6,0,6,,,
827,5,0,5,,,
828,9,0,9,,,
829,7,1,8,,,
830,3,0,3,,,
831,17,0,17,,,
832,6,0,6,,,
833,11,0,11,,,
834,5,1,6,,,
835,16,0,16,,,
836,5,0,5,,,
837,2,0,2,,,
838,1,0,1,,,
839,7,0,7,,,
840,4,0,4,,,
841,3,0,3,,,
842,16,1,17,,,
843,6,0,6,,,
844,5,0,5,,,
845,2,0,2,,,
846,3,0,3,,,
847,7,0,7,,,
848,0,2,2,,,
849,4,0,4,,,
850,5,0,5,,,
851,5,0,5,,,
852,3,0,3,,,
853,5,0,5,,,
854,10,0,10,,,
855,9,0,9,,,
856,3,0,3,,,
857,6,0,6,,,
858,3,0,3,,,
859,2,0,2,,,
860,13,0,13,,,
861,3,0,3,,,
862,9,1,10,,,
863,1,0,1,,,
864,2,0,2,,,
865,13,0,13,,,
866,4,0,4,,,
867,2,0,2,,,
868,1,0,1,,,
869,1,0,1,,,
870,5,0,5,,,
871,3,0,3,,,
872,2,1,3,,,
873,5,0,5,,,
874,1,0,1,,,
875,1,0,1,,,
876,11,0,11,,,
877,15,0,15,,,
878,4,0,4,,,
879,1,0,1,,,
880,15,0,15,,,
881,2,0,2,,,
882,3,0,3,,,
883,6,0,6,,,
884,8,0,8,,,
885,21,0,21,,,
886,4,0,4,,,
887,2,0,2,,,
888,7,0,7,,,
889,8,0,8,,,
890,4,0,4,,,
891,1,0,1,,,
892,17,1,18,,,
893,13,0,13,,,
894,7,0,7,,,
895,3,1,4,,,
896,5,0,5,,,
897,8,0,8,,,
898,1,0,1,,,
899,3,0,3,,,
900,15,0,15,,,
901,12,0,12,,,
902,2,0,2,,,
903,1,0,1,,,
904,5,0,5,,,
905,5,0,5,,,
906,3,0,3,,,
907,9,0,9,,,
908,2,0,2,,,
909,4,0,4,,,
910,7,0,7,,,
911,3,0,3,,,
912,8,0,8,,,
913,6,0,6,,,
914,5,0,5,,,
915,4,0,4,,,
916,4,0,4,,,
917,21,0,21,,,
918,6,0,6,,,
919,4,0,4,,,
920,2,0,2,,,
921,1,0,1,,,
922,7,0,7,,,
923,6,0,6,,,
924,5,0,5,,,
925,3,0,3,,,
926,1,0,1,,,
927,3,0,3,,,
928,5,0,5,,,
929,6,0,6,,,
930,1,0,1,,,
931,1,0,1,,,
932,16,0,16,,,
933,4,0,4,,,
934,13,0,13,,,
935,1,0,1,,,
936,6,0,6,,,
937,4,0,4,,,
938,19,0,19,,,
939,17,0,17,,,
940,7,1,8,,,
941,13,0,13,,,
942,14,0,14,,,
943,2,0,2,,,
944,4,0,4,,,
945,14,0,14,,,
946,2,0,2,,,
947,17,0,17,,,
948,3,0,3,,,
949,1,0,1,,,
950,1,0,1,,,
951,17,0,17,,,
952,5,0,5,,,
953,23,0,23,,,
954,3,0,3,,,
955,4,0,4,,,
956,1,0,1,,,
957,3,0,3,,,
958,2,0,2,,,
959,9,0,9,,,
960,27,0,27,,,
961,11,0,11,,,
962,2,0,2,,,
963,5,0,5,,,
964,2,0,2,,,
965,4,0,4,,,
966,2,0,2,,,
967,3,0,3,,,
968,5,0,5,,,
969,10,0,10,,,
970,2,0,2,,,
971,5,0,5,,,
972,2,0,2,,,
973,2,0,2,,,
974,6,0,6,,,
975,1,0,1,,,
976,2,0,2,,,
977,6,0,6,,,
978,1,0,1,,,
979,6,1,7,,,
980,4,0,4,,,
981,7,1,8,,,
982,3,0,3,,,
983,11,0,11,,,
984,19,0,19,,,
985,4,0,4,,,
986,1,0,1,,,
987,4,0,4,,,
988,5,0,5,,,
989,3,0,3,,,
990,7,0,7,,,
991,3,0,3,,,
992,12,0,12,,,
993,3,0,3,,,
994,3,0,3,,,
995,2,0,2,,,
996,7,0,7,,,
997,4,0,4,,,
998,15,0,15,,,
999,5,0,5,,,
1000,3,0,3,,,
1001,18,0,18,,,
1002,4,0,4,,,
1003,2,0,2,,,
1004,6,0,6,,,
1005,6,0,6,,,
1006,4,0,4,,,
1007,7,0,7,,,
1008,2,0,2,,,
1009,8,0,8,,,
1010,14,0,14,,,
1011,2,0,2,,,
1012,20,0,20,,,
1013,4,0,4,,,
1014,11,0,11,,,
1015,5,0,5,,,
1016,6,0,6,,,
1017,1,0,1,,,
1018,9,0,9,,,
1019,2,0,2,,,
1020,1,0,1,,,
1021,5,0,5,,,
1022,12,0,12,,,
1023,18,0,18,,,
1024,1,0,1,,,
1025,3,0,3,,,
1026,23,1,24,,,
1027,22,0,22,,,
1028,3,0,3,,,
1029,4,0,4,,,
1030,1,0,1,,,
1031,8,0,8,,,
1032,9,0,9,,,
1033,1,0,1,,,
1034,7,0,7,,,
1035,2,0,2,,,
1036,6,0,6,,,
1037,2,0,2,,,
1038,4,0,4,,,
1039,8,0,8,,,
1040,9,0,9,,,
1041,1,0,1,,,
1042,1,0,1,,,
1043,2,0,2,,,
1044,3,0,3,,,
1045,2,0,2,,,
1046,1,0,1,,,
1047,1,0,1,,,
1048,14,0,14,,,
1049,10,0,10,,,
1050,7,1,8,,,
1051,3,0,3,,,
1052,6,1,7,,,
1053,4,0,4,,,
1054,5,0,5,,,
1055,2,0,2,,,
1056,2,0,2,,,
1057,4,0,4,,,
1058,9,0,9,,,
1059,1,0,1,,,
1060,8,1,9,,,
1061,13,0,13,,,
1062,6,0,6,,,
1063,5,0,5,,,
1064,2,1,3,,,
1065,3,0,3,,,
1066,2,0,2,,,
1067,4,0,4,,,
1068,14,0,14,,,
1069,6,0,6,,,
1070,4,0,4,,,
1071,1,0,1,,,
1072,3,0,3,,,
1073,4,0,4,,,
1074,6,0,6,,,
1075,2,0,2,,,
1076,17,0,17,,,
1077,5,0,5,,,
1078,5,0,5,,,
1079,2,1,3,,,
1080,5,0,5,,,
1081,4,0,4,,,
1082,3,0,3,,,
1083,6,0,6,,,
1084,2,0,2,,,
1085,3,0,3,,,
1086,11,0,11,,,
1087,2,0,2,,,
1088,3,0,3,,,
1089,10,1,11,,,
1090,4,0,4,,,
1091,5,0,5,,,
1092,3,0,3,,,
1093,2,0,2,,,
1094,2,1,3,,,
1095,4,0,4,,,
1096,7,0,7,,,
1097,14,0,14,,,
1098,5,0,5,,,
1099,4,0,4,,,
1100,2,0,2,,,
1101,2,0,2,,,
1102,4,0,4,,,
1103,5,0,5,,,
1104,1,0,1,,,
1105,18,0,18,,,
1106,6,0,6,,,
1107,14,0,14,,,
1108,3,0,3,,,
1109,7,0,7,,,
1110,11,0,11,,,
1111,4,0,4,,,
1112,4,0,4,,,
1113,5,0,5,,,
1114,9,0,9,,,
1115,8,0,8,,,
1116,3,0,3,,,
1117,4,0,4,,,
1118,4,0,4,,,
1119,3,0,3,,,
1120,8,0,8,,,
1121,4,0,4,,,
1122,3,0,3,,,
1123,9,0,9,,,
1124,2,0,2,,,
1125,11,0,11,,,
1126,8,0,8,,,
1127,9,0,9,,,
1128,3,0,3,,,
1129,14,0,14,,,
1130,4,0,4,,,
1131,9,0,9,,,
1132,2,0,2,,,
1133,2,0,2,,,
1134,1,0,1,,,
1135,14,0,14,,,
1136,2,0,2,,,
1137,5,0,5,,,
1138,3,0,3,,,
1139,5,0,5,,,
1140,6,0,6,,,
1141,0,1,1,,,
1142,4,0,4,,,
1143,12,0,12,,,
1144,4,0,4,,,
1145,4,0,4,,,
1146,20,0,20,,,
1147,5,0,5,,,
1148,3,0,3,,,
1149,13,0,13,,,
1150,2,0,2,,,
1151,24,0,24,,,
1152,12,0,12,,,
1153,12,0,12,,,
1154,7,0,7,,,
1155,2,0,2,,,
1156,7,0,7,,,
1157,2,0,2,,,
1158,6,0,6,,,
1159,3,0,3,,,
1160,1,0,1,,,
1161,2,0,2,,,
1162,1,0,1,,,
1163,3,0,3,,,
1164,9,0,9,,,
1165,6,0,6,,,
1166,7,1,8,,,
1167,2,0,2,,,
1168,7,0,7,,,
1169,2,0,2,,,
1170,12,0,12,,,
1171,5,1,6,,,
1172,4,0,4,,,
1173,14,0,14,,,
1174,2,0,2,,,
1175,2,0,2,,,
1176,5,0,5,,,
1177,2,0,2,,,
1178,5,0,5,,,
1179,3,0,3,,,
1180,1,0,1,,,
1181,1,0,1,,,
1182,1,0,1,,,
1183,4,0,4,,,
1184,3,1,4,,,
1185,3,0,3,,,
1186,12,0,12,,,
1187,3,0,3,,,
1188,1,0,1,,,
1189,14,0,14,,,
1190,5,0,5,,,
1191,1,0,1,,,
1192,2,1,3,,,
1193,9,0,9,,,
1194,1,0,1,,,
1195,1,0,1,,,
1196,3,0,3,,,
1197,2,0,2,,,
1198,12,0,12,,,
1199,19,0,19,,,
1200,5,0,5,,,
1201,2,0,2,,,
1202,4,0,4,,,
1203,2,0,2,,,
1204,2,0,2,,,
1205,7,0,7,,,
1206,14,0,14,,,
1207,5,0,5,,,
1208,6,0,6,,,
1209,5,0,5,,,
1210,3,0,3,,,
1211,0,1,1,,,
1212,8,0,8,,,
1213,2,0,2,,,
1214,1,0,1,,,
1215,11,0,11,,,
1216,7,0,7,,,
1217,3,1,4,,,
1218,8,0,8,,,
1219,11,0,11,,,
1220,5,0,5,,,
1221,6,0,6,,,
1222,1,1,2,,,
1223,3,1,4,,,
1224,2,0,2,,,
1225,0,2,2,,,
1226,6,0,6,,,
1227,1,0,1,,,
1228,2,0,2,,,
1229,4,0,4,,,
1230,10,0,10,,,
1231,8,0,8,,,
1232,2,0,2,,,
1233,3,0,3,,,
1234,2,0,2,,,
1235,12,0,12,,,
1236,1,0,1,,,
1237,1,0,1,,,
1238,4,0,4,,,
1239,4,0,4,,,
1240,2,0,2,,,
1241,3,0,3,,,
1242,7,0,7,,,
1243,9,0,9,,,
1244,1,0,1,,,
1245,14,0,14,,,
